project_id,name,programme,phase,budget_kgbp,agent_enabled
P-001,Workstream 01,PRG1,integration,1625,yes
P-002,Workstream 02,PRG3,planning,900,yes
P-003,Workstream 03,PRG4,closure,450,yes
P-004,Workstream 04,PRG7,delivery,275,yes
P-005,Workstream 05,PRG9,initiation,1225,yes
P-006,Workstream 06,PRG1,integration,850,yes
P-007,Workstream 07,PRG3,planning,850,yes
P-008,Workstream 08,PRG4,closure,750,yes
P-009,Workstream 09,PRG7,delivery,675,yes
P-010,Workstream 10,PRG9,initiation,525,yes
P-011,Workstream 11,PRG1,integration,1050,yes
P-012,Workstream 12,PRG3,planning,1025,yes
P-013,Workstream 13,PRG4,closure,275,yes
P-014,Workstream 14,PRG7,delivery,1550,yes
P-015,Workstream 15,PRG9,initiation,1000,yes
P-016,Workstream 16,PRG1,integration,500,yes
P-017,Workstream 17,PRG3,planning,475,yes
P-018,Workstream 18,PRG4,closure,1150,yes
P-019,Workstream 19,PRG7,delivery,1450,yes
P-020,Workstream 20,PRG9,initiation,1325,yes
P-021,Workstream 21,PRG1,integration,1000,yes
P-022,Workstream 22,PRG3,planning,425,yes
P-023,Workstream 23,PRG4,closure,275,yes
P-024,Workstream 24,PRG7,delivery,450,yes
P-025,Workstream 25,PRG9,initiation,1050,yes
P-026,Workstream 26,PRG1,integration,475,yes
P-027,Workstream 27,PRG3,planning,525,yes
P-028,Workstream 28,PRG4,closure,775,yes
P-029,Workstream 29,PRG7,delivery,425,yes
P-030,Workstream 30,PRG9,initiation,500,yes
P-031,Workstream 31,PRG1,integration,1375,yes
P-032,Workstream 32,PRG3,planning,625,yes
P-033,Workstream 33,PRG4,closure,1625,yes
P-034,Workstream 34,PRG7,delivery,1350,yes
P-035,Workstream 35,PRG9,initiation,1150,yes
P-036,Workstream 36,PRG1,integration,1300,yes
P-037,Workstream 37,PRG3,planning,1250,yes
P-038,Workstream 38,PRG4,closure,600,yes
P-039,Workstream 39,PRG7,delivery,1700,yes
P-040,Workstream 40,PRG9,initiation,950,yes
