observation_id,decision_class,reviewer_id,observed_on,raw_seconds,idle_trimmed_seconds,artifact_words,genuinely_checked
obs-0001,A,u-2291,2026-07-08,21.9,18.0,110,true
obs-0002,A,u-3042,2026-07-08,23.3,20.5,110,true
obs-0003,A,u-3119,2026-07-08,25.5,23.0,110,true
obs-0004,A,u-3388,2026-07-08,28.0,25.5,110,true
obs-0005,A,u-3450,2026-07-08,36.1,28.0,110,true
obs-0006,A,u-4021,2026-07-08,35.8,30.3,110,true
obs-0007,A,u-4088,2026-07-08,34.0,32.6,110,true
obs-0008,A,u-4133,2026-07-08,45.9,34.8,110,true
obs-0009,A,u-5010,2026-07-08,41.3,37.0,110,true
obs-0010,A,u-5044,2026-07-08,48.2,39.3,110,true
obs-0011,A,u-5077,2026-07-08,49.4,41.5,110,true
obs-0012,A,u-5091,2026-07-08,52.3,43.9,110,true
obs-0013,A,u-5123,2026-07-08,59.2,46.5,110,true
obs-0014,A,u-1180,2026-07-08,55.8,49.2,110,true
obs-0015,A,u-2291,2026-07-08,67.1,51.9,110,true
obs-0016,A,u-3042,2026-07-08,56.0,54.6,110,true
obs-0017,A,u-3119,2026-07-08,75.9,57.3,110,true
obs-0018,A,u-3388,2026-07-08,69.9,59.9,110,true
obs-0019,A,u-3450,2026-07-08,73.4,62.6,110,true
obs-0020,A,u-4021,2026-07-08,70.8,65.3,110,true
obs-0021,A,u-4088,2026-07-08,75.7,68.0,110,true
obs-0022,A,u-4133,2026-07-08,90.1,70.7,110,true
obs-0023,A,u-5010,2026-07-08,94.1,73.8,110,true
obs-0024,A,u-5044,2026-07-08,91.3,77.5,110,true
obs-0025,A,u-5077,2026-07-08,92.3,81.2,110,true
obs-0026,A,u-5091,2026-07-08,93.8,84.9,110,true
obs-0027,A,u-5123,2026-07-08,100.1,88.6,110,true
obs-0028,A,u-1180,2026-07-08,106.8,92.3,110,true
obs-0029,A,u-2291,2026-07-08,110.5,95.9,110,true
obs-0030,A,u-3042,2026-07-08,127.1,99.6,110,true
obs-0031,A,u-3119,2026-07-08,131.4,103.3,110,true
obs-0032,A,u-3388,2026-07-08,131.8,107.0,110,true
obs-0033,A,u-3450,2026-07-08,147.8,110.7,110,true
obs-0034,A,u-4021,2026-07-08,145.1,117.5,110,true
obs-0035,A,u-4088,2026-07-08,135.3,125.3,110,true
obs-0036,A,u-4133,2026-07-08,146.3,133.1,110,true
obs-0037,A,u-5010,2026-07-08,165.3,140.9,110,true
obs-0038,A,u-5044,2026-07-08,158.7,148.7,110,true
obs-0039,A,u-5077,2026-07-08,186.5,156.5,110,true
obs-0040,A,u-5091,2026-07-08,204.5,168.3,110,true
obs-0041,A,u-5123,2026-07-08,222.4,189.2,110,true
obs-0042,A,u-1180,2026-07-08,278.1,210.1,110,true
obs-0043,A,u-2291,2026-07-08,300.6,231.1,110,true
obs-0044,A,u-3042,2026-07-08,301.6,252.0,110,true
obs-0045,A,u-3119,2026-07-08,9.0,9.0,110,false
obs-0046,A,u-3388,2026-07-08,6.0,6.0,110,false
obs-0047,A,u-3450,2026-07-08,4.7,4.7,110,false
obs-0048,A,u-4021,2026-07-08,7.0,7.0,110,false
obs-0049,A,u-4088,2026-07-08,5.4,5.4,110,false
obs-0050,B,u-3450,2026-07-08,145.2,108.0,700,true
obs-0051,B,u-4021,2026-07-08,127.9,122.6,700,true
obs-0052,B,u-4088,2026-07-08,146.1,137.2,700,true
obs-0053,B,u-4133,2026-07-08,189.0,151.8,700,true
obs-0054,B,u-1180,2026-07-08,195.1,169.8,700,true
obs-0055,B,u-2291,2026-07-08,210.9,195.7,700,true
obs-0056,B,u-3042,2026-07-08,233.6,221.7,700,true
obs-0057,B,u-3119,2026-07-08,299.3,247.6,700,true
obs-0058,B,u-3388,2026-07-08,354.6,273.6,700,true
obs-0059,B,u-3450,2026-07-08,379.7,299.5,700,true
obs-0060,B,u-4021,2026-07-08,400.2,325.0,700,true
obs-0061,B,u-4088,2026-07-08,360.3,350.3,700,true
obs-0062,B,u-4133,2026-07-08,444.4,375.6,700,true
obs-0063,B,u-1180,2026-07-08,512.8,400.9,700,true
obs-0064,B,u-2291,2026-07-08,535.0,426.2,700,true
obs-0065,B,u-3042,2026-07-08,581.0,451.5,700,true
obs-0066,B,u-3119,2026-07-08,630.2,476.7,700,true
obs-0067,B,u-3388,2026-07-08,586.3,502.1,700,true
obs-0068,B,u-3450,2026-07-08,619.4,527.4,700,true
obs-0069,B,u-4021,2026-07-08,582.5,557.5,700,true
obs-0070,B,u-4088,2026-07-08,764.1,592.5,700,true
obs-0071,B,u-4133,2026-07-08,837.4,627.6,700,true
obs-0072,B,u-1180,2026-07-08,861.8,662.6,700,true
obs-0073,B,u-2291,2026-07-08,881.4,697.6,700,true
obs-0074,B,u-3042,2026-07-08,872.2,732.6,700,true
obs-0075,B,u-3119,2026-07-08,912.2,767.7,700,true
obs-0076,B,u-3388,2026-07-08,1032.3,802.7,700,true
obs-0077,B,u-3450,2026-07-08,1106.2,837.7,700,true
obs-0078,B,u-4021,2026-07-08,1148.5,878.6,700,true
obs-0079,B,u-4088,2026-07-08,1094.7,937.0,700,true
obs-0080,B,u-4133,2026-07-08,1037.3,995.4,700,true
obs-0081,B,u-1180,2026-07-08,1261.0,1053.7,700,true
obs-0082,B,u-2291,2026-07-08,1222.7,1112.1,700,true
obs-0083,B,u-3042,2026-07-08,1453.3,1170.5,700,true
obs-0084,B,u-3119,2026-07-08,1532.5,1290.2,700,true
obs-0085,B,u-3388,2026-07-08,1917.9,1436.1,700,true
obs-0086,B,u-3450,2026-07-08,1679.7,1582.1,700,true
obs-0087,B,u-4021,2026-07-08,1781.9,1728.0,700,true
obs-0088,B,u-4088,2026-07-08,26.5,26.5,700,false
obs-0089,B,u-4133,2026-07-08,60.7,60.7,700,false
obs-0090,B,u-1180,2026-07-08,51.7,51.7,700,false
obs-0091,B,u-2291,2026-07-08,25.9,25.9,700,false
obs-0092,C,u-3042,2026-07-08,924.5,792.0,2100,true
obs-0093,C,u-3119,2026-07-08,1178.8,879.3,2100,true
obs-0094,C,u-3388,2026-07-08,1177.6,966.5,2100,true
obs-0095,C,u-3450,2026-07-08,1415.6,1053.8,2100,true
obs-0096,C,u-1180,2026-07-08,1578.7,1360.0,2100,true
obs-0097,C,u-2291,2026-07-08,2128.5,1760.0,2100,true
